saison,date,lieu,adversaire,buts_barca,buts_adversaire,resultat,tirs_barca,tirs_adversaire,tirs_cadres_barca,corners_barca,jaunes_barca,rouges_barca,arbitre
9900,2000-03-04,domicile,Numancia,4,0,V,,,,,,,
9900,2000-03-11,exterieur,Ath Bilbao,4,0,V,,,,,,,
9900,2000-03-18,domicile,La Coruna,2,1,V,,,,,,,
9900,2000-03-25,exterieur,Malaga,2,1,V,,,,,,,
9900,2000-04-02,domicile,Valencia,3,0,V,,,,,,,
9900,2000-04-09,domicile,Mallorca,0,3,D,,,,,,,
9900,2000-04-15,exterieur,Oviedo,0,3,D,,,,,,,
9900,2000-04-22,domicile,Sevilla,2,0,V,,,,,,,
9900,2000-04-29,exterieur,Ath Madrid,3,0,V,,,,,,,
9900,2000-05-06,domicile,Vallecano,0,2,D,,,,,,,
9900,2000-05-14,exterieur,Sociedad,0,0,N,,,,,,,
9900,2000-05-19,domicile,Celta,2,2,N,,,,,,,
0001,2000-09-09,domicile,Malaga,2,1,V,,,,,,,
0001,2000-09-16,exterieur,Ath Bilbao,1,3,D,,,,,,,
0001,2000-09-23,domicile,Santander,3,1,V,,,,,,,
0001,2000-10-01,exterieur,La Coruna,0,2,D,,,,,,,
0001,2000-10-14,exterieur,Sociedad,6,0,V,,,,,,,
0001,2000-10-21,domicile,Real Madrid,2,0,V,,,,,,,
0001,2000-10-28,exterieur,Mallorca,0,2,D,,,,,,,
0001,2000-11-01,domicile,Numancia,1,1,N,,,,,,,
0001,2000-11-04,exterieur,Las Palmas,1,0,V,,,,,,,
0001,2000-11-12,domicile,Villarreal,1,2,D,,,,,,,
0001,2000-11-19,exterieur,Zaragoza,1,3,D,,,,,,,
0001,2000-11-26,domicile,Osasuna,2,0,V,,,,,,,
0001,2000-12-02,exterieur,Celta,3,3,N,,,,,,,
0001,2000-12-10,domicile,Espanol,4,2,V,,,,,,,
0001,2000-12-16,exterieur,Vallecano,2,2,N,,,,,,,
0001,2000-12-20,domicile,Alaves,3,2,V,,,,,,,
0001,2001-01-07,exterieur,Oviedo,3,2,V,,,,,,,
0001,2001-01-13,domicile,Valladolid,3,1,V,,,,,,,
0001,2001-01-20,exterieur,Valencia,1,0,V,,,,,,,
0001,2001-01-27,exterieur,Malaga,0,0,N,,,,,,,
0001,2001-02-03,domicile,Ath Bilbao,7,0,V,,,,,,,
0001,2001-02-11,exterieur,Santander,0,4,D,,,,,,,
0001,2001-02-17,domicile,La Coruna,2,3,D,,,,,,,
0001,2001-02-25,domicile,Sociedad,3,0,V,,,,,,,
0001,2001-03-03,exterieur,Real Madrid,2,2,N,,,,,,,
0001,2001-03-11,domicile,Mallorca,1,1,N,,,,,,,
0001,2001-03-18,exterieur,Numancia,1,1,N,,,,,,,
0001,2001-04-01,domicile,Las Palmas,4,1,V,,,,,,,
0001,2001-04-08,exterieur,Villarreal,4,4,N,,,,,,,
0001,2001-04-14,domicile,Zaragoza,4,4,N,,,,,,,
0001,2001-04-22,exterieur,Osasuna,1,3,D,,,,,,,
0001,2001-04-29,domicile,Celta,1,1,N,,,,,,,
0001,2001-05-05,exterieur,Espanol,0,0,N,,,,,,,
0001,2001-05-13,domicile,Vallecano,5,1,V,,,,,,,
0001,2001-05-19,exterieur,Alaves,1,0,V,,,,,,,
0001,2001-05-27,domicile,Oviedo,0,1,D,,,,,,,
0001,2001-06-10,exterieur,Valladolid,2,2,N,,,,,,,
0001,2001-06-17,domicile,Valencia,3,2,V,,,,,,,
0102,2001-08-26,exterieur,Sevilla,2,1,V,,,,,,,
0102,2001-09-09,domicile,Vallecano,1,1,N,,,,,,,
0102,2001-09-15,exterieur,Osasuna,0,0,N,,,,,,,
0102,2001-09-22,domicile,Tenerife,2,0,V,,,,,,,
0102,2001-09-29,exterieur,Sociedad,2,0,V,,,,,,,
0102,2001-10-03,domicile,Mallorca,3,0,V,,,,,,,
0102,2001-10-06,exterieur,La Coruna,1,2,D,,,,,,,
0102,2001-10-14,domicile,Valencia,2,2,N,,,,,,,
